Item,Quantity,Name,Material
1,2,face_belt_grabber,PETG
2,3,DIN 912 M3 25 mm,- None -
3,21,"M3  Hex nut ",- None -
4,2,DIN 912 M2.5 12 mm,- None -
5,5,DIN 912 M3 8 mm,- None -
6,1,mosquito_25mm_fan,PETG
7,1,mosquito_face,PETG
8,1,25mm fan,- None -
9,8,DIN 912 M3 10 mm,- None -
10,1,top_endstop_plug_mgn12,PETG
11,1,top_mgn12,PETG
12,4,DIN 912 M3 35 mm,- None -
13,1,back_corexy,PETG
14,1,tension_slider_9mm_belt_M5,PETG
15,1,tension_slider_9mm_belt_M5_mirror,PETG
16,1,5015 fan,- None -
17,2,DIN 912 M5 45 mm,- None -
18,2,M5  Hex nut Nyloc,- None -
19,1,bottom_mgn12_short_duct,PETG
20,5,DIN 912 M3 12 mm,- None -
21,1,Duct v2.1 Straight,PETG
22,1,mosquito_shroud,PETG
23,1,cable_holder,PETG
24,1,unversal_cable_mount,PETG
